Timestamp,Alpha,Beta,Gamma,Delta,Theta
1341.4,781.37,1181.6,620.99,684.91,5496.8
1341.7,801.43,1172.6,631.43,444.85,5465.5
1342,810.34,1169.5,635.92,394.9,5428.6
1342.3,819.35,1177.9,632.82,474.62,5364.7
1342.6,819.19,1188.1,621.68,582.76,5304.9
1342.9,813.18,1203.2,598.51,710.79,5211.6
1343.2,804.29,1216,576.78,809.4,5132.5
1343.5,783.49,1226,535.67,1051.7,4969.5
1343.8,762.41,1225,503.66,1260.2,4825.4
1344.1,740.35,1217.7,474.81,1501.2,4661.1
1344.4,719.65,1202.3,450.97,1704.8,4487.5
1344.7,703.32,1176.3,430.05,1933.7,4291.9
1345,693.2,1151.4,420.42,2021.9,4126.1
1345.3,691.88,1133.8,419.69,1981.8,4034.8
1345.6,692.64,1122.7,423.7,1805.1,4004.6
1345.9,699.65,1119.6,431.87,1585.9,4037.6
1346.2,702.68,1120.9,443.55,1347.9,4151.3
1346.5,701.17,1129.3,454.64,1116.8,4326.6
1346.8,688.29,1139.7,462.87,989.5,4507.1
1347.1,670.25,1151.7,470.93,879.84,4694.1
1347.4,630.36,1165.4,480.01,823.17,4910.1
1347.7,590.47,1173,490.28,818.05,5079.3
1348,542.29,1181.8,502.76,730.39,5231.9
1348.3,490.16,1191.2,520.98,587.25,5397.4
1348.6,445.46,1198.8,539.84,530.58,5529.8
1348.9,408.44,1205,561.47,512.79,5649.4
1349.2,371.71,1208.6,587.19,519.37,5762.8
1349.5,348.35,1204.2,609.8,536.55,5838.4
1349.8,335.77,1190.6,624.26,563.88,5861
1350.1,335.18,1172.6,631.29,615.47,5846.4
1350.4,345.45,1147.7,630.12,685.94,5782
1350.7,362.31,1121.8,620.66,773.18,5689.7
1351,392.64,1095.8,601.92,892.3,5552.3
1351.3,425.75,1081.4,583.35,982.24,5430.8
1351.6,461.53,1069.7,564.27,1029.6,5322.1
1351.9,504.45,1069,545.38,1020.2,5224.6
1352.2,538.99,1076.4,533.03,1011.4,5174
1352.5,571.42,1090.9,524.65,978.7,5158.8
1352.8,592.94,1106.2,521.32,954.25,5176.1
1353.1,606.4,1122.1,519.05,892.71,5219.8
1353.4,611.74,1136,519.96,796.54,5289
1353.7,609.3,1147.8,522.06,744.79,5373.1
1354,594.45,1161.6,528.07,644.59,5507.3
1354.3,573.41,1170.8,535.65,608.73,5625
1354.6,548.13,1179.4,547.68,559.08,5746.1
1354.9,512.08,1191.6,567.05,464.42,5886.2
1355.2,480.16,1204.7,586.1,450.93,5984.8
1355.5,447.06,1220.4,609.19,407.6,6061.4
1355.8,429.28,1238.3,627.25,351.07,6069.9
1356.1,422.13,1262,642.02,294.53,6004.6
1356.4,436.05,1285.4,647.79,289.01,5877.8
1356.7,470.8,1307.6,646.75,329.58,5684.3
1357,525.83,1329.2,637.25,378.59,5440.8
1357.3,611.08,1350,619.12,459.28,5101.4
1357.6,699.19,1364,598.87,521.5,4784.4
1357.9,787.77,1371.8,576.2,568.41,4465.9
1358.2,886.32,1370.3,547.68,621.53,4111.6
1358.5,966.46,1360.7,519.99,681.55,3789.2
1358.8,1013.4,1338.9,494.06,720.54,3545.1
1359.1,1034.8,1305.5,466.72,731.39,3322.7
1359.4,1026.3,1256.8,432.95,742.69,3079.2
1359.7,990.38,1208.7,400.85,712.1,2873.3
1360,916.76,1146.6,363.66,678.52,2618.9
1360.3,832.42,1092.6,330.33,659.99,2391.2
1360.6,735.58,1041.7,298.65,617.03,2152.1
1360.9,614.71,984.82,264.91,603.49,1886.3
1361.2,513.4,945.94,241.12,592.4,1695.3
1361.5,408.01,913.32,220.27,591.41,1555.6
1361.8,337,899.74,213.64,584.73,1544
1362.1,279.09,906.85,217.95,601.77,1673.8
1362.4,252.76,931.44,233.55,559.52,1924
1362.7,245.33,971.58,260.53,527.23,2284.8
1363,259.36,1035.3,302.63,504.64,2819.2
1363.3,280.36,1102.1,346.42,512.69,3335.1
1363.6,306.88,1183.1,401.8,496.53,3946.1
1363.9,325.12,1251.4,450.37,427.56,4434.1
1364.2,337.07,1312.1,495.59,457.58,4865.1
1364.5,338.05,1360.3,536.15,512.28,5222.4
1364.8,329.55,1398.1,573.66,661,5526.1
1365.1,315.11,1409.3,594.23,842.12,5677.8
1365.4,290.33,1394.7,603.34,1102.9,5717.1
1365.7,269.88,1364.7,597.32,1391.6,5635.1
1366,252.5,1320.4,579.7,1699.2,5451.8
1366.3,242.59,1266,552.04,2003.2,5177.7
1366.6,241.21,1194.9,509.73,2377.1,4765.4
1366.9,249.98,1120.3,461.05,2523.6,4279.7
1367.2,262.09,1058.8,417.88,2537.3,3838.5
1367.5,281.41,1004.8,379.12,2470.2,3407.3
1367.8,303.85,954.63,340.39,2190.3,2954.2
1368.1,324.61,925.39,315.66,1907.1,2638.3
1368.4,345.25,907.08,300.2,1664.7,2360.5
1368.7,363.48,907.08,295.54,1552.3,2214.7
1369,379.7,928.78,305.03,1690.6,2141.9
1369.3,393.1,966.06,323.25,2190.3,2149.7
1369.6,403.96,1022.9,349.83,3151.8,2195.7
1369.9,414.16,1091.5,383.28,4376,2263.8
1370.2,418.38,1172.5,422.76,5808.8,2335.3
1370.5,414.4,1241.8,457.11,6899.1,2364.2
1370.8,405.78,1269.1,473.51,7519.8,2342.4
1371.1,386.35,1272.5,481.48,8289.3,2256
1371.4,351.04,1223.5,468.93,9046.2,2069.6
1371.7,303.82,1117.6,433.55,9583.6,1793.3
1372,257.57,987.28,390.21,9420.1,1515.8
1372.3,203.52,810.7,329.91,9015.4,1170.7
1372.6,159.25,655.63,278.19,8224.2,892.96
1372.9,115.59,488.91,223.81,6997.6,613.99
1373.2,88.933,370.87,186.51,5620.7,431.57
1373.5,71.097,281.67,159.17,4208,297.83
1373.8,68.515,223.05,140.65,3686.3,220.29
1374.1,85.827,187.46,127.51,2903,196.07
1374.4,126.18,175.54,118.25,2915.7,213
1374.7,181.6,176.64,110.23,3452.9,260.77
1375,257.9,181.57,100.91,3434.9,325.44
1375.3,354.68,194.41,90.664,3703.9,406.44
1375.6,487.62,215.51,79.965,4978,518.4
1375.9,637.48,245.98,74.013,6126.7,650.37
1376.2,767.47,275.6,73.48,7896.8,767.31
1376.5,922.59,316.98,82.412,10317,913.67
1376.8,1031.1,352.52,96.239,11569,1029.7
1377.1,1168.6,403.27,123.83,14230,1193.6
1377.4,1282.2,454.73,162.54,17500,1368.8
1377.7,1355.9,498.13,204.94,20688,1533.7
1378,1407.3,542.76,255.77,23692,1711.3
1378.3,1435.7,593.78,326.82,27262,1925.3
1378.6,1433.6,634.89,393.94,29985,2100.8
1378.9,1401.7,676.6,473.05,32071,2270
1379.2,1350.4,701.31,533.55,33237,2364.2
1379.5,1276.1,710.85,580.48,33864,2395.8
1379.8,1167.3,697.9,609.3,33221,2339
1380.1,1053,664.38,607.04,31083,2193
1380.4,908.7,600.51,572.25,26848,1939.2
1380.7,776.99,528.4,517.14,22787,1678.3
1381,642.84,446.25,445.79,19304,1374.1
1381.3,497.13,346.85,351.23,14664,1040.4
1381.6,383.3,267.04,270.81,12383,781.03
1381.9,270.51,187.9,187.06,10151,538.55
1382.2,190.23,134.61,128.91,8882.8,389.33
1382.5,123.18,92.998,80.599,9032.8,270.41
1382.8,83.426,71.646,55.078,9074.2,211.33
1383.1,61.209,61.49,41.081,6761.9,184.73
1383.4,48.784,58.05,34.687,5078.4,175.35
1383.7,41.753,57.146,30.733,4416.8,176.46
1384,39.791,59.531,30.064,3874.4,178.8
1384.3,39.027,60.135,30.819,3324.7,184.33
1384.6,40.438,61.076,31.263,2808.6,189.21
1384.9,42.519,60.707,31.081,2364.4,193.68
1385.2,44.456,59.073,30.35,1986.8,197.06
1385.5,46.564,56.58,28.791,1588.7,196.82
1385.8,49.056,52.288,25.995,1634,194.1
1386.1,50.733,48.091,23.549,1598.8,189.41
1386.4,52.468,43.334,20.624,1360.3,181.47
1386.7,53.489,39.562,18.369,1211.1,173.58
1387,54.157,35.992,16.045,1228.5,164.7
1387.3,54.158,33.717,14.504,1291.7,157.51
1387.6,53.72,32.217,13.238,1353.6,151.41
1387.9,52.793,31.478,12.051,1370.1,145.42
1388.2,50.878,31.346,11.143,1353,139.07
1388.5,47.931,31.585,9.4778,1382.8,129.78
1388.8,44.326,31.804,8.7147,1383,120.06
1389.1,40.18,31.931,8.0388,1315.1,108.86
1389.4,34.574,31.83,7.1028,1143.9,92.403
1389.7,30.009,31.403,6.8413,1003.6,79.187
1390,25.895,30.597,6.6596,850.93,66.266
1390.3,22.119,29.566,6.2066,677.47,54.345
1390.6,19.867,28.453,6.3628,573.2,48.511
1390.9,18.572,27.444,6.0068,512.12,46.447
1391.2,18.309,26.65,6.1929,509.65,49.478
1391.5,18.915,26.211,5.9828,456.36,59.173
1391.8,19.632,26.149,6.5516,407.88,69.153
1392.1,20.938,26.53,6.1586,402.54,85.208
1392.4,21.871,27.121,6.4528,442.94,99.918
1392.7,22.844,28.119,6.3398,483.07,115.93
1393,23.463,29.04,6.0634,516.14,128.25
1393.3,23.927,29.64,6.2146,554.77,136.32
1393.6,24.254,29.896,6.4682,544.89,141.65
1393.9,24.77,29.718,6.6006,594.4,145.84
1394.2,26.237,29.028,6.436,673.88,151.83
1394.5,28.441,27.832,6.2824,746.45,161.48
1394.8,31.388,26.49,6.3876,783.07,173.69
1395.1,35.239,25.108,6.6537,848.26,189.45
1395.4,39.792,23.798,6.9652,937.16,208.62
1395.7,45.389,22.464,6.8142,1038.7,231.3
1396,50.531,21.523,6.7169,1110.2,250.62
1396.3,54.166,21.059,6.9021,1155.3,261.94
1396.6,56.449,20.804,7.1061,1164.2,266.39
1396.9,57.177,20.868,6.8471,1157.2,262.13
1397.2,56.002,21.087,6.9199,1137.8,250.79
1397.5,52.963,21.287,7.0634,1126.5,233.17
1397.8,47.968,21.545,6.4601,1000.9,208.21
1398.1,42.707,21.676,6.4479,900.09,184.62
1398.4,37.045,21.708,6.3708,859.95,160.91
1398.7,30.456,21.749,6.1418,866.06,134.35
1399,25.31,21.686,6.3095,868.66,113.83
1399.3,20.345,21.765,6.0744,846.23,92.569
1399.6,17.25,21.532,6.3954,875.75,76.899
1399.9,14.158,21.393,6.2103,984.38,62.075
1400.2,13.079,21.29,6.5082,1105.9,52.696
1400.5,11.866,21.029,7.0724,1255.2,43.79
1400.8,11.64,20.823,6.7797,1295.9,40.868
1401.1,11.916,20.662,7.1987,1327,43.18
1401.4,12.416,20.453,7.3321,1310.3,50.732
1401.7,13.518,20.529,7.2357,1195.4,66.8
1402,14.825,20.735,7.6583,1077.4,84.698
1402.3,16.502,21.167,7.5356,888.55,108.61
1402.6,18.219,21.741,7.947,805.82,129.09
1402.9,20.171,22.325,7.8553,702.87,148.94
1403.2,21.993,22.901,8.1373,649.54,161.57
1403.5,24.107,23.393,8.0045,602.05,172.85
1403.8,26.135,23.643,8.0844,618.23,177.21
1404.1,28.395,23.798,7.9643,602.21,179.4
1404.4,31.56,24.202,7.6073,497.56,184.16
1404.7,33.156,24.233,7.4389,510.18,185.48
1405,37.148,24.785,6.852,672.67,195.99
1405.3,39.41,25.376,6.7265,733.25,205.49
1405.6,41.135,25.959,6.7584,825.48,214.97
1405.9,42.414,26.654,6.5026,1005,226.35
1406.2,42.837,27.145,6.8663,1166.1,233.64
1406.5,42.669,27.599,6.984,1371.9,236.79
1406.8,42.332,27.748,7.5527,1510.6,238.6
1407.1,42.247,27.813,8.1937,1607.4,237.92
1407.4,42.654,27.929,8.5502,1703.7,237.53
1407.7,43.473,28.078,9.1761,1748.5,238.07
1408,45.128,28.511,9.4381,1738.7,237.91
1408.3,46.476,28.895,9.8665,1692.3,238.54
1408.6,47.613,29.439,10.246,1601.4,238.08
1408.9,48.441,29.859,9.9695,1474.6,234.4
1409.2,48.722,29.905,10.105,1366.3,228.09
1409.5,48.168,29.695,9.7467,1294.3,218.63
1409.8,47.556,29.215,9.6441,1299,207.37
1410.1,47.111,28.503,9.5718,1312.4,196.43
1410.4,47.081,27.726,9.127,1410.8,184.64
1410.7,47.702,27.265,9.2494,1594.2,176.76
1411,48.391,26.779,9.0033,1719.1,171.66
1411.3,49.683,26.582,9.2266,1873.6,166.77
1411.6,50.809,26.904,8.6547,1963.1,164.12
1411.9,51.465,27.669,8.2385,2024,162.27
1412.2,51.041,28.527,8.3432,2188.7,160.01
1412.5,49.943,29.704,8.4981,2300.8,156.86
1412.8,47.569,31.448,8.1769,2452.5,150.66
1413.1,45.139,33.101,8.3478,2556.7,143.9
1413.4,41.856,35.242,8.2498,2643,132.98
1413.7,39.038,37.184,8.6824,2494.2,122.88
1414,36.513,39.117,9.1533,2360.5,111.27
1414.3,34.205,41.502,9.2863,2385,99.745
1414.6,32.752,43.621,10.068,2649.7,94.167
1414.9,31.836,46.344,10.974,2769.1,92.302
1415.2,31.555,48.698,12.529,3034.1,97.183
1415.5,31.675,51.29,14.281,3314.3,109.14
1415.8,31.858,53.053,16.292,3255,122.65
1416.1,31.55,54.378,18.691,3307.8,138.23
1416.4,31.408,54.979,20.966,3416.3,154.1
1416.7,31.023,54.592,22.919,3515.2,164.47
1417,30.23,53.272,24.098,3455.5,174.14
1417.3,29.642,51.473,24.616,3487,176.91
1417.6,29.471,50.322,25.218,3295.2,181.61
1417.9,30.35,48.824,25.037,2853.7,188.1
1418.2,32.423,49.619,25.764,2380.4,199.59
1418.5,37.388,54.639,28.961,1818,222.12
1418.8,43.591,63.286,34.375,1537,247.2
1419.1,51.246,76.854,43.297,1295,278.1
1419.4,61.759,97.273,57.131,1125.7,314.67
1419.7,70.866,117.5,71.09,1035.8,343.21
1420,79.863,140.21,87.214,930.69,367.62
1420.3,85.181,156.27,98.814,896.8,376.87
1420.6,87.306,166.88,106.71,921.52,377.44
1420.9,85.765,169.71,109.2,928.13,365.06
1421.2,81.511,164.21,105.66,963.35,345.95
1421.5,73.321,148.52,94.829,1024.8,316.81
1421.8,64.777,129.74,81.528,1074.9,287.39
1422.1,56.187,108.59,66.834,1096.7,258.41
1422.4,47.134,84.05,49.567,1137.7,226.34
1422.7,40.818,65.728,36.729,1155.8,200.82
1423,35.555,49.102,25.242,1156.6,177.87
1423.3,32.706,39.309,18.542,1130.7,163.81
1423.6,30.726,33.275,14.462,1074.2,154.94
1423.9,29.553,29.496,11.889,997.42,156.86
1424.2,29.014,28.248,10.985,962.23,165.8
1424.5,28.039,27.134,9.9807,925.1,187.15
1424.8,27.776,27.666,9.7806,913.39,213.72
1425.1,27.015,28.75,9.8727,896.62,247.07
1425.4,26.605,30.497,10.347,915.11,285.94
1425.7,26.505,33.175,10.614,965.78,333.3
1426,26.91,36.275,11.255,1016.6,379.25
1426.3,27.788,38.5,12.044,1031.9,407.24
1426.6,29.768,41.405,12.692,1076.8,436.49
1426.9,31.849,43.474,13.479,1114.4,449
1427.2,34.606,45.032,13.725,1163.5,447.8
1427.5,37.1,45.638,14.014,1187.3,429.51
1427.8,38.636,45.545,14.215,1192.8,399.34
1428.1,39.551,45.084,14.54,1196,360.86
1428.4,39.722,44.496,14.448,1191.3,309.32
1428.7,39.347,44.017,14.663,1175.8,266.65
1429,38.801,43.884,14.76,1164.1,222.26
1429.3,38.134,44.107,15.071,1137.6,194.26
1429.6,37.873,44.575,15.418,1135.4,176.66
1429.9,37.764,45.062,15.175,1153.9,170.56
1430.2,37.814,45.26,15.133,1198.1,175.5
1430.5,37.756,44.999,14.57,1215.4,188.36
1430.8,37.078,44.239,14.219,1209.1,201.76
1431.1,35.919,42.775,13.536,1191,215.36
1431.4,34.094,40.517,12.421,1154.3,227.79
1431.7,32.133,38.257,11.748,1101,233.97
1432,29.629,35.486,10.877,1019.9,234.89
1432.3,27.663,33.207,10.536,926.89,231.49
1432.6,25.967,31.272,10.482,847.09,223.49
1432.9,24.367,29.375,9.9003,740.7,209.93
1433.2,23.554,28.134,10.073,687.48,195.94
1433.5,22.973,27.148,9.9785,626.45,177.84
1433.8,22.729,26.508,10.429,579.88,161.71
1434.1,22.567,26.078,10.475,584.09,146.34
1434.4,22.415,25.765,10.564,622.9,129.02
1434.7,22.541,25.748,10.911,672.04,117.06
1435,22.757,26.056,11.305,756.68,106.71
1435.3,23.291,26.684,12.116,925.84,101.2
1435.6,24.254,27.75,13.073,1189.8,99.514
1435.9,25.545,29.293,14.212,1227.4,102.6
1436.2,27.831,31.348,15.341,1224.1,111.62
1436.5,30.714,33.77,16.465,1389.1,127.21
1436.8,33.463,35.633,17.392,1545.2,144.58
1437.1,36.404,37.289,17.699,1689.9,163.81
1437.4,39.199,38.456,17.732,1907.6,187.68
1437.7,40.979,38.767,17.559,2074.4,204.82
1438,42.055,38.375,16.64,2398.9,219.83
1438.3,41.872,37.588,15.92,2669.5,226.74
1438.6,40.815,36.62,15.061,2912.7,228.07
1438.9,38.954,35.581,13.875,3093.3,224.3
1439.2,36.272,34.806,12.797,3125.8,215.23
1439.5,33.978,34.676,11.96,3077.2,205.38
1439.8,31.635,35.085,11.218,2900.6,194.14
1440.1,30.261,35.811,10.692,2584.3,185.59
1440.4,29.579,36.698,10.029,2182,178.71
1440.7,29.514,37.599,9.7529,1724.4,171.5
1441,30.016,38.07,9.3339,1374.2,164.59
1441.3,30.957,38.242,8.8775,1184.3,159.25
1441.6,31.958,37.497,8.9797,994.09,152.7
1441.9,33.504,36.728,8.8421,862.17,145.71
1442.2,35.475,36.206,8.7557,712.41,143.98
1442.5,38.821,36.133,8.9732,614.11,148.07
1442.8,42.16,36.421,8.8617,637.33,158.88
1443.1,46.744,37.4,8.4835,694.88,180.23
1443.4,52.798,39.461,8.9257,749.18,216.49
1443.7,57.687,41.045,8.5049,825.5,249.14
1444,65.765,43.921,9.099,998.79,310.62
1444.3,70.681,45.917,9.388,1155.1,358.03
1444.6,75.017,47.255,9.6813,1348.2,402.45
1444.9,77.568,47.936,9.7776,1518,439.51
1445.2,78.167,47.657,10.221,1634,469.99
1445.5,76.217,46.229,10.182,1728.7,484.19
1445.8,73.479,44.625,9.79,1769.3,485.24
1446.1,69.318,41.862,9.5918,1821.2,476.35
1446.4,64.084,38.773,9.2479,1790.2,460.25
1446.7,60.228,35.971,8.7095,1760.2,444.61
1447,56.713,33.376,8.0081,1768.4,430.14
1447.3,53.736,30.743,7.6951,1836.3,416.61
1447.6,51.566,28.819,7.1482,1847.6,408.74
1447.9,49.511,27.282,6.7335,1828.9,400.83
1448.2,47.53,26.524,6.6056,1815,391.98
1448.5,45.432,26.396,6.7233,1863.1,380.34
1448.8,42.566,26.289,6.9898,1932.8,359.34
1449.1,39.91,26.559,7.2819,1995.4,335.87
1449.4,36.95,26.855,7.8867,2011.5,304.03
1449.7,34.683,27.215,8.4156,2056.6,274.68
1450,32.437,27.486,8.8826,1955.4,239.87
1450.3,31.057,27.766,9.1777,1831.8,214.66
1450.6,30.089,28.274,9.2577,1691,194.02
1450.9,28.886,29.148,9.5393,1500.3,174.4
1451.2,28.15,30.226,9.6363,1330.7,161.78
1451.5,26.936,31.76,9.7394,1253.4,152.3
1451.8,25.691,33.357,9.8123,1119,143.97
1452.1,24.669,35.104,9.6909,1022.9,136.25
1452.4,23.053,36.744,10.387,947.36,126.92
1452.7,22.376,38.074,10.777,935.34,119.95
1453,22.563,38.792,11.095,1023.6,116.03
1453.3,24.659,39.127,12.037,872.99,117.18
1453.6,27.514,39.165,12.299,770.74,124.32
1453.9,32.825,38.376,12.729,828.71,140.12
1454.2,38.173,37.698,13.107,869.3,159.38
1454.5,43.995,36.95,13.169,971.76,180.65
1454.8,49.882,36.178,13.409,1079.3,203.62
1455.1,53.551,35.677,13.307,1169.6,218.1
1455.4,55.233,35.282,13.076,1321.9,224.89
1455.7,54.364,35.039,13.115,1506.4,222.59
1456,50.697,34.655,12.862,1767.2,208.88
1456.3,45.86,34.5,12.454,1846.8,191.07
1456.6,40.258,34.237,11.98,1841.2,169.96
1456.9,33.454,33.959,11.925,1815.3,145.18
1457.2,28.219,33.687,11.758,1738.1,125.71
1457.5,23.335,33.385,11.813,1519.6,107.55
1457.8,20.394,33.342,11.68,1287.8,96.316
1458.1,18.453,33.469,11.688,1082.9,89.283
1458.4,17.353,34.274,12.051,901.48,85.042
1458.7,16.907,34.949,11.763,782.81,83.063
1459,16.871,36.345,11.618,696.53,81.424
1459.3,16.769,37.808,11.163,645.22,79.337
1459.6,16.669,39.238,10.487,529.73,76.429
1459.9,16.552,40.87,9.8305,398.53,71.237
1460.2,16.037,41.709,9.3293,369.03,66.421
1460.5,15.216,42.665,8.73,346.04,57.735
1460.8,14.554,42.826,8.2227,311.46,50.705
1461.1,13.851,42.611,8.0334,269.84,43.485
1461.4,13.128,41.924,8.0088,250.94,35.277
1461.7,12.609,40.868,8.1445,252.39,29.287
1462,12.473,39.702,8.3547,250.03,24.501
1462.3,12.923,38.454,8.6982,255.4,21.555
1462.6,14.831,36.819,8.6987,266.83,22.637
1462.9,18.661,35.458,8.7455,306.9,28.949
1463.2,23.554,34.458,8.6596,348.04,38.242
1463.5,28.587,33.888,8.8987,386.49,48.375
1463.8,37.811,32.942,8.2105,477.62,66.994
1464.1,44.707,32.612,8.0024,560.85,80.652
1464.4,51.379,32.438,7.7687,632.71,94.008
1464.7,54.719,32.574,8.0767,674.43,101.37
1465,56.652,33.078,8.1434,720.87,105.46
1465.3,55.326,33.921,8.4264,736.58,103.89
1465.6,51.904,34.858,9.0704,725.09,99.443
1465.9,46.268,36.217,9.6031,715.1,93.043
1466.2,40.933,37.526,10.216,730.3,88.12
1466.5,34.982,38.79,10.64,748.35,85.286
1466.8,31.686,39.577,11.099,784.38,85.533
1467.1,28.413,40.393,11.069,773.4,90.213
1467.4,26.984,40.594,11.149,801.13,97.289
1467.7,26.62,40.3,10.79,903.22,108.24
1468,27.057,39.405,10.385,1032,120.24
1468.3,27.68,38.369,10.17,1120.5,131.49
1468.6,28.306,37.009,10.063,1288.8,140.4
1468.9,28.747,35.218,9.7417,1413.3,148.81
1469.2,29.086,33.715,9.6386,1461.2,154.52
1469.5,29.105,32.258,9.6875,1431.2,157.86
1469.8,28.968,30.91,9.5592,1356.3,158.96
1470.1,29.222,30.327,10.129,1206,158.1
1470.4,28.759,30.469,10.132,1404.2,156.37
1470.7,30.281,32.411,12.101,1502.7,151.47
1471,37.302,35.613,14.158,1545.8,144.99
1471.3,47.574,44.459,18.188,1949.8,141.18
1471.6,75.552,64.226,26.851,3018.5,139.95
1471.9,129.73,98.167,42.028,5501.9,147.69
1472.2,199.9,138.67,60.558,8188.7,162.27
1472.5,312.74,198.79,88.236,11344,194.07
1472.8,427.38,256.29,115.83,14495,228.73
1473.1,549.82,314.24,144.04,17271,269.4
1473.4,685.78,373.54,173.69,19575,322.66
1473.7,766.08,405.52,189.63,20597,361.78
1474,842.4,430.6,203.47,20786,412.4
1474.3,850.91,426.35,202.54,20452,438.43
1474.6,815.65,403.1,192.01,19337,453.21
1474.9,726.67,356.86,170.23,17299,454.02
1475.2,621.79,307.32,146.67,15451,444.98
1475.5,504.92,254.95,121.57,13296,426.13
1475.8,372.24,198.33,94.319,10920,403.38
1476.1,275.74,156.92,74.837,9039.6,386.52
1476.4,189.79,120.47,57.139,7264.6,373.82
1476.7,142.29,99.092,46.794,6181,367.34
1477,110.64,82.942,39.157,5125.2,353.55
1477.3,98.795,74.706,35.091,4406.6,346.4
1477.6,91.682,69.425,31.954,4663.4,332.89
1477.9,88.747,66.403,29.599,4335.7,311.83
1478.2,86.51,65.037,28.672,4211.2,284.42
1478.5,81.393,65.094,28.135,4350.4,248.83
1478.8,76.206,65.95,28.438,4451.2,224.16
1479.1,67.281,68.035,28.768,4836.6,188.52
1479.4,57.22,71.663,29.292,4279.1,159.3
1479.7,48.619,75.419,29.524,3825.9,139.2
1480,41.363,81.476,29.874,3433.3,125.17
1480.3,36.663,85.638,29.156,3627.9,119.17
1480.6,35.1,90.343,29.08,3671.4,121.51
1480.9,39.537,94.777,28.545,3535.4,122.66
1481.2,48.54,97.119,28.639,3295.8,130
1481.5,65.416,99.035,29.183,3650.5,155.45
1481.8,91.016,100.53,30.188,4326.3,193.31
1482.1,133.11,103.7,32.448,6569.3,265.29
1482.4,175.56,104.04,33.86,9752.7,346.21
1482.7,224.07,106.08,35.912,13284,455.14
1483,289.08,109.6,39.56,17203,629.24
1483.3,330.97,112.3,42.839,19419,765.27
1483.6,361.54,114.69,46.837,21171,896.3
1483.9,377.4,115.74,52.254,23132,1020.4
1484.2,372.3,115.04,57.529,25296,1089.7
1484.5,345.01,111.74,63.733,26942,1118.3
1484.8,307.55,107.14,68.942,27143,1096.8
1485.1,261.45,101.44,72.986,25955,1031.7
1485.4,204.39,93.969,75.949,23945,918.72
1485.7,158.93,87.673,76.436,20875,800.6
1486,113.63,80.68,73.787,16379,651.84
1486.3,89.75,77.007,70.691,13173,552.11
1486.6,67.081,72.141,64.283,9856.6,418.46
1486.9,56.051,69.378,58.047,8456.7,326.83
1487.2,51.274,66.676,50.041,7077.6,251.8
1487.5,53.819,64.768,42.986,6111.7,198.98
1487.8,58.515,63.674,37.925,4760.1,172.67
1488.1,64.994,63.225,34.474,4036.3,157.16
1488.4,72.868,62.904,32.144,3785.3,149.78
1488.7,76.81,62.414,31.107,3855.9,146.03
1489,79.189,62.638,31.587,3806.3,141.25
1489.3,78.136,62.957,32.596,3199.5,133.29
1489.6,74.161,63.669,34.142,2823.2,121.81
1489.9,66.509,64.14,36.059,2496.3,105.61
1490.2,57.964,64.535,37.506,2073.2,89.589
1490.5,48.514,64.605,38.73,1493.7,73.245
1490.8,37.652,63.932,39.562,961.44,55.573
1491.1,29.466,62.903,39.854,694.28,42.885
1491.4,22.779,61.314,39.723,501.09,33.103
1491.7,16.987,58.91,39.159,575.81,24.413
1492,13.215,56.256,37.865,583.67,19.41
1492.3,11.594,54.325,36.367,548.13,17.239
1492.6,10.887,52.743,34.618,560.23,15.651
1492.9,10.609,51.772,32.446,767.44,14.614
1493.2,10.564,51.364,29.518,1368,13.054
1493.5,11.028,52.065,26.976,2047.5,12.24
1493.8,11.764,53.675,23.991,2772.4,11.586
1494.1,12.511,55.588,21.578,3369,11.339
1494.4,13.683,57.904,19.444,3857.2,12.434
1494.7,14.714,59.855,17.972,4193,14.242
1495,16.102,61.619,17.244,4375.5,18.205
1495.3,17.396,62.706,17.178,4361.3,23.416
1495.6,18.776,63.395,17.564,4200.9,30.208
1495.9,20.156,63.407,18.53,3893.5,38.486
1496.2,21.562,62.701,19.796,3491.9,49.221
1496.5,22.824,61.279,21.077,2885,59.554
1496.8,23.594,59.927,22.057,2456.7,66.702
1497.1,24.772,57.821,23.036,1883.5,75.741
1497.4,26.384,55.375,23.833,1282.4,83.745
1497.7,27.974,53.273,24.222,915.71,89.133
1498,30.428,50.824,24.318,889.66,93.696
1498.3,32.494,48.738,24.089,994.81,96.788
1498.6,35.07,46.563,23.523,869.09,99.051
1498.9,37.679,44.653,22.801,800.56,99.945
1499.2,39.49,42.48,21.787,957.08,98.011
1499.5,40.726,40.553,20.667,1181,95.217
1499.8,41.173,38.851,19.293,1438,90.408
1500.1,40.798,37.65,18.18,1604.3,85.761
1500.4,39.664,36.784,16.916,1756.2,80.916
1500.7,38.425,36.554,15.967,1755.3,77.652
1501,36.826,36.556,14.997,1703.2,76.235
1501.3,35.614,37.134,14.202,1540.5,76.665
1501.6,34.52,37.917,13.557,1318.3,77.404
1501.9,33.317,38.79,12.774,1103.3,78.403
1502.2,32.153,39.75,12.183,922.25,77.74
1502.5,30.389,40.682,11.543,738.15,73.974
1502.8,28.568,41.488,11.077,574.12,67.855
1503.1,26.371,42.237,10.762,499.8,59.252
1503.4,23.61,42.742,10.597,396.63,47.433
1503.7,21.777,43.3,10.726,286.26,38.814
1504,19.343,43.588,11.194,168.67,28.407
